phase,time,confidence
P,2022-12-20T01:27:19.338400Z,0.130
P,2022-12-20T01:36:38.798400Z,0.127
P,2022-12-20T01:36:42.478400Z,0.204
P,2022-12-20T01:36:52.498400Z,0.322
P,2022-12-20T01:43:00.838400Z,0.293
P,2022-12-20T01:49:38.098400Z,0.130
P,2022-12-20T01:53:08.978400Z,0.181
P,2022-12-20T01:54:45.408400Z,0.113
P,2022-12-20T01:54:50.078400Z,0.239
P,2022-12-20T01:57:02.348400Z,0.139
P,2022-12-20T02:12:54.268400Z,0.160
P,2022-12-20T02:12:56.028400Z,0.160
P,2022-12-20T02:12:58.238400Z,0.110
P,2022-12-20T02:13:12.638400Z,0.232
P,2022-12-20T02:13:35.838400Z,0.238
P,2022-12-20T02:15:22.498400Z,0.122
P,2022-12-20T02:15:30.558400Z,0.274
P,2022-12-20T02:15:34.688400Z,0.165
P,2022-12-20T02:15:38.398400Z,0.193
P,2022-12-20T02:15:40.718400Z,0.341
P,2022-12-20T02:15:43.398400Z,0.541
P,2022-12-20T02:15:49.498400Z,0.267
P,2022-12-20T02:15:52.858400Z,0.394
P,2022-12-20T02:19:02.788400Z,0.134
P,2022-12-20T02:23:45.048400Z,0.139
P,2022-12-20T02:36:03.918400Z,0.138
P,2022-12-20T02:36:32.008400Z,0.226
P,2022-12-20T02:44:47.458400Z,0.178
P,2022-12-20T02:44:58.078400Z,0.226
P,2022-12-20T02:45:33.318400Z,0.170
P,2022-12-20T02:47:24.388400Z,0.155
P,2022-12-20T02:47:28.678400Z,0.367
P,2022-12-20T02:47:51.678400Z,0.103
P,2022-12-20T02:48:15.458400Z,0.858
P,2022-12-20T02:48:43.458400Z,0.392
P,2022-12-20T02:48:46.138400Z,0.646
P,2022-12-20T02:48:58.948400Z,0.648
P,2022-12-20T02:49:03.378400Z,0.200
P,2022-12-20T02:50:06.438400Z,0.150
P,2022-12-20T02:55:37.968400Z,0.984
P,2022-12-20T02:57:58.998400Z,0.136
P,2022-12-20T03:03:14.318400Z,0.956
P,2022-12-20T03:03:53.968400Z,0.603
P,2022-12-20T03:06:52.288400Z,0.179
P,2022-12-20T03:07:04.668400Z,0.985
P,2022-12-20T03:16:24.398400Z,0.126
P,2022-12-20T03:18:33.048400Z,0.994
P,2022-12-20T03:21:09.418400Z,0.102
P,2022-12-20T03:26:34.028400Z,0.118
P,2022-12-20T03:28:14.478400Z,0.131
P,2022-12-20T03:28:23.488400Z,0.107
P,2022-12-20T03:28:25.488400Z,0.342
P,2022-12-20T03:28:40.578400Z,0.406
P,2022-12-20T03:28:48.298400Z,0.425
P,2022-12-20T03:28:53.568400Z,0.293
P,2022-12-20T03:28:56.298400Z,0.123
P,2022-12-20T03:29:08.128400Z,0.112
P,2022-12-20T03:29:34.978400Z,0.176
P,2022-12-20T03:30:02.818400Z,0.949
P,2022-12-20T03:30:24.838400Z,0.560
P,2022-12-20T03:40:09.838400Z,0.118
P,2022-12-20T03:44:47.508400Z,0.163
P,2022-12-20T03:45:00.658400Z,0.244
P,2022-12-20T03:45:02.638400Z,0.299
P,2022-12-20T03:45:15.308400Z,0.539
P,2022-12-20T03:45:21.598400Z,0.109
P,2022-12-20T03:45:50.418400Z,0.141
P,2022-12-20T03:45:56.108400Z,0.316
P,2022-12-20T03:49:38.098400Z,0.223
P,2022-12-20T03:50:49.318400Z,0.112
P,2022-12-20T04:00:00.388400Z,0.136
P,2022-12-20T04:02:50.998400Z,0.229
P,2022-12-20T04:03:53.428400Z,0.146
P,2022-12-20T04:15:41.258400Z,0.165
P,2022-12-20T04:16:31.748400Z,0.152
P,2022-12-20T04:19:13.068400Z,0.200
P,2022-12-20T04:28:45.768400Z,0.134
P,2022-12-20T04:37:26.018400Z,0.254
P,2022-12-20T04:37:44.498400Z,0.238
P,2022-12-20T04:37:59.698400Z,0.303
P,2022-12-20T04:38:04.798400Z,0.280
P,2022-12-20T04:38:14.188400Z,0.436
P,2022-12-20T04:38:15.948400Z,0.226
P,2022-12-20T04:38:24.118400Z,0.112
P,2022-12-20T04:38:28.598400Z,0.663
P,2022-12-20T04:38:35.618400Z,0.372
P,2022-12-20T04:39:42.478400Z,0.195
P,2022-12-20T04:42:35.818400Z,0.352
P,2022-12-20T04:44:11.268400Z,0.690
P,2022-12-20T04:45:49.198400Z,0.994
P,2022-12-20T04:51:18.058400Z,0.616
P,2022-12-20T04:54:58.918400Z,0.286
P,2022-12-20T04:56:54.748400Z,0.991
P,2022-12-20T04:57:29.138400Z,0.145
P,2022-12-20T04:58:10.508400Z,0.134
P,2022-12-20T04:58:20.888400Z,0.153
P,2022-12-20T04:58:57.708400Z,0.500
P,2022-12-20T04:59:11.628400Z,0.393
P,2022-12-20T05:07:17.908400Z,0.241
P,2022-12-20T05:12:11.708400Z,0.113
P,2022-12-20T05:12:27.188400Z,0.145
P,2022-12-20T05:12:38.638400Z,0.279
P,2022-12-20T05:18:59.248400Z,0.387
P,2022-12-20T05:20:13.438400Z,0.128
P,2022-12-20T05:21:32.678400Z,0.230
P,2022-12-20T05:22:36.678400Z,0.148
P,2022-12-20T05:32:06.528400Z,0.222
P,2022-12-20T05:34:05.298400Z,0.180
P,2022-12-20T05:37:48.608400Z,0.401
P,2022-12-20T05:43:07.648400Z,0.149
P,2022-12-20T05:47:36.958400Z,0.107
P,2022-12-20T05:49:59.918400Z,0.177
P,2022-12-20T05:50:02.578400Z,0.179
P,2022-12-20T05:50:07.028400Z,0.659
P,2022-12-20T05:50:08.368400Z,0.166
P,2022-12-20T05:54:34.158400Z,0.130
P,2022-12-20T05:57:54.798400Z,0.953
P,2022-12-20T06:05:50.518400Z,0.142
P,2022-12-20T06:05:55.528400Z,0.616
P,2022-12-20T06:05:57.368400Z,0.148
P,2022-12-20T06:06:04.918400Z,0.125
P,2022-12-20T06:06:09.348400Z,0.309
P,2022-12-20T06:06:38.908400Z,0.278
P,2022-12-20T06:08:37.378400Z,0.135
P,2022-12-20T06:23:21.188400Z,0.131
P,2022-12-20T06:24:38.478400Z,0.275
P,2022-12-20T06:27:13.548400Z,0.245
P,2022-12-20T06:32:11.448400Z,0.557
P,2022-12-20T06:34:17.398400Z,0.660
P,2022-12-20T06:40:50.838400Z,0.103
P,2022-12-20T06:43:33.348400Z,0.207
P,2022-12-20T06:44:07.928400Z,0.209
P,2022-12-20T07:01:42.428400Z,0.726
P,2022-12-20T07:01:45.138400Z,0.110
P,2022-12-20T07:09:02.088400Z,0.113
P,2022-12-20T07:19:21.248400Z,0.894
P,2022-12-20T07:23:10.128400Z,0.177
P,2022-12-20T07:23:14.938400Z,0.173
P,2022-12-20T07:24:37.848400Z,0.132
P,2022-12-20T07:27:51.898400Z,0.155
P,2022-12-20T07:33:39.268400Z,0.159
P,2022-12-20T07:38:15.388400Z,0.559
P,2022-12-20T07:38:20.018400Z,0.268
P,2022-12-20T07:39:02.678400Z,0.445
P,2022-12-20T07:40:00.618400Z,0.187
P,2022-12-20T07:46:52.528400Z,0.710
P,2022-12-20T07:51:01.058400Z,0.251
P,2022-12-20T07:51:10.218400Z,0.729
P,2022-12-20T07:51:25.248400Z,0.260
P,2022-12-20T07:57:05.108400Z,0.245
P,2022-12-20T07:58:30.618400Z,0.925
P,2022-12-20T07:58:37.488400Z,0.385
P,2022-12-20T07:58:46.218400Z,0.108
P,2022-12-20T08:00:53.848400Z,0.106
P,2022-12-20T08:03:27.888400Z,0.344
P,2022-12-20T08:09:02.548400Z,0.151
P,2022-12-20T08:15:35.008400Z,0.118
P,2022-12-20T08:18:04.768400Z,0.147
P,2022-12-20T08:18:15.068400Z,0.101
P,2022-12-20T08:18:16.658400Z,0.136
P,2022-12-20T08:19:40.378400Z,0.166
P,2022-12-20T08:21:26.408400Z,0.159
P,2022-12-20T08:22:48.688400Z,0.194
P,2022-12-20T08:28:05.418400Z,0.280
P,2022-12-20T08:28:28.488400Z,0.120
P,2022-12-20T08:30:10.118400Z,0.112
P,2022-12-20T08:33:23.588400Z,0.141
P,2022-12-20T08:36:37.988400Z,0.303
P,2022-12-20T08:42:05.298400Z,0.120
P,2022-12-20T08:53:43.358400Z,0.481
P,2022-12-20T08:56:50.268400Z,0.871
P,2022-12-20T09:00:48.318400Z,0.169
P,2022-12-20T09:11:42.058400Z,0.116
P,2022-12-20T09:13:09.968400Z,0.283
P,2022-12-20T09:22:33.698400Z,0.122
P,2022-12-20T09:23:43.878400Z,0.179
P,2022-12-20T09:24:59.858400Z,0.460
P,2022-12-20T09:25:05.308400Z,0.234
P,2022-12-20T09:40:33.648400Z,0.968
P,2022-12-20T09:40:45.608400Z,0.130
