phase,peak_time,confidence
P,2022-12-20 18:59:56.480,0.9494454264640808
P,2022-12-20 19:00:51.680,0.5155767798423767
P,2022-12-20 19:01:39.160,0.2403444796800613
P,2022-12-20 19:01:48.290,0.8270013332366943
P,2022-12-20 19:02:44.720,0.7730481624603271
P,2022-12-20 19:04:21.070,0.6136972904205322
P,2022-12-20 19:05:01.470,0.8440927267074585
P,2022-12-20 19:05:25.510,0.7423335313796997
P,2022-12-20 19:06:13.930,0.4111364781856537
P,2022-12-20 19:06:30.490,0.9816509485244752
P,2022-12-20 19:07:33.230,0.800849437713623
P,2022-12-20 19:08:27.120,0.3334434628486633
P,2022-12-20 19:08:52.340,0.9028048515319824
P,2022-12-20 19:11:27.240,0.985018253326416
P,2022-12-20 19:13:09.910,0.7057430744171143
P,2022-12-20 19:15:03.560,0.8729472160339355
P,2022-12-20 19:15:24.710,0.814761221408844
P,2022-12-20 19:16:09.850,0.9744271039962769
P,2022-12-20 19:17:13.030,0.980240523815155
P,2022-12-20 19:19:07.610,0.9464386105537416
P,2022-12-20 19:19:51.910,0.9296505451202391
P,2022-12-20 19:20:24.400,0.8014957904815674
P,2022-12-20 19:21:03.690,0.9003642797470093
P,2022-12-20 19:22:53.550,0.8028271794319153
P,2022-12-20 19:23:09.850,0.2195669561624527
P,2022-12-20 19:24:04.930,0.9620733261108398
P,2022-12-20 19:24:47.250,0.55828857421875
P,2022-12-20 19:26:34.610,0.277042031288147
P,2022-12-20 19:26:44.270,0.6397614479064941
P,2022-12-20 19:27:38.550,0.9686310291290284
P,2022-12-20 19:29:15.420,0.2135573029518127
P,2022-12-20 19:30:16.020,0.9848889112472534
P,2022-12-20 19:32:16.000,0.8532707095146179
P,2022-12-20 19:32:55.000,0.5701817870140076
P,2022-12-20 19:33:10.350,0.8161608576774597
P,2022-12-20 19:33:56.490,0.2746586203575134
P,2022-12-20 19:34:25.840,0.6840518712997437
P,2022-12-20 19:35:03.070,0.940942108631134
P,2022-12-20 19:35:48.020,0.3033325672149658
P,2022-12-20 19:36:28.220,0.8067588806152344
P,2022-12-20 19:37:03.590,0.6995538473129272
P,2022-12-20 19:37:27.810,0.3660935163497925
P,2022-12-20 19:41:13.170,0.206608772277832
P,2022-12-20 19:41:58.750,0.3679788708686828
P,2022-12-20 19:42:24.850,0.8665875196456909
P,2022-12-20 19:42:57.600,0.975216269493103
P,2022-12-20 19:43:31.120,0.8531306982040405
P,2022-12-20 19:45:12.890,0.8670110702514648
P,2022-12-20 19:46:39.130,0.8882594108581543
P,2022-12-20 19:48:10.090,0.6137996912002563
P,2022-12-20 19:49:48.710,0.9780305027961732
P,2022-12-20 19:51:12.720,0.922078013420105
P,2022-12-20 19:53:33.230,0.5745218396186829
P,2022-12-20 19:54:02.000,0.9015976190567015
P,2022-12-20 19:56:47.010,0.8867703676223755
P,2022-12-20 19:59:25.380,0.9201691746711732
P,2022-12-20 20:00:22.080,0.9629825353622437
P,2022-12-20 20:03:28.840,0.3479121327400207
P,2022-12-20 20:04:03.450,0.3138119280338287
P,2022-12-20 20:04:29.940,0.3041804730892181
P,2022-12-20 20:06:54.170,0.8752391338348389
P,2022-12-20 20:09:33.020,0.6667627096176147
P,2022-12-20 20:10:37.770,0.9839969277381896
P,2022-12-20 20:11:41.680,0.7359651327133179
P,2022-12-20 20:12:32.600,0.3501718044281006
P,2022-12-20 20:13:55.930,0.9036973118782043
P,2022-12-20 20:15:05.290,0.3966348171234131
P,2022-12-20 20:16:49.890,0.6050055027008057
P,2022-12-20 20:17:00.130,0.4968408942222595
P,2022-12-20 20:17:53.680,0.7305656671524048
P,2022-12-20 20:19:33.690,0.5019901990890503
P,2022-12-20 20:20:47.390,0.9635565280914308
P,2022-12-20 20:22:02.370,0.3301523625850677
P,2022-12-20 20:22:27.520,0.9606591463088988
P,2022-12-20 20:22:42.310,0.96817547082901
P,2022-12-20 20:24:25.370,0.9445682764053344
P,2022-12-20 20:25:54.420,0.9880167245864868
P,2022-12-20 20:26:48.770,0.9875051975250244
P,2022-12-20 20:29:15.970,0.9733273983001708
P,2022-12-20 20:30:04.970,0.9668376445770264
P,2022-12-20 20:31:13.650,0.6809024214744568
P,2022-12-20 20:31:48.170,0.4684707522392273
P,2022-12-20 20:33:11.650,0.264781504869461
P,2022-12-20 20:34:33.610,0.5841670036315918
P,2022-12-20 20:35:49.130,0.4059299826622009
P,2022-12-20 20:36:00.030,0.8804513216018677
P,2022-12-20 20:36:43.640,0.6574981212615967
P,2022-12-20 20:37:05.140,0.4736142754554748
P,2022-12-20 20:37:58.870,0.8582038879394531
P,2022-12-20 20:38:44.070,0.9805656671524048
P,2022-12-20 20:39:53.330,0.3714874982833862
P,2022-12-20 20:41:22.010,0.8460534811019897
P,2022-12-20 20:44:34.510,0.6788257360458374
P,2022-12-20 20:45:03.440,0.3246079683303833
P,2022-12-20 20:45:05.060,0.2686523497104645
P,2022-12-20 20:45:59.640,0.6786742806434631
P,2022-12-20 20:46:41.590,0.9765449166297911
P,2022-12-20 20:47:03.720,0.3782122731208801
P,2022-12-20 20:48:47.990,0.3046404123306274
P,2022-12-20 20:48:58.970,0.5266987085342407
P,2022-12-20 20:49:31.190,0.8819257020950317
P,2022-12-20 20:50:41.510,0.2760913372039795
P,2022-12-20 20:51:35.320,0.9074161052703856
P,2022-12-20 20:54:08.480,0.514876127243042
P,2022-12-20 20:55:50.010,0.9839727878570556
P,2022-12-20 20:56:34.940,0.2364808619022369
P,2022-12-20 20:57:47.390,0.3357231020927429
P,2022-12-20 20:58:35.030,0.94960355758667
P,2022-12-20 20:59:46.960,0.2046281099319458
P,2022-12-20 21:00:49.710,0.9734707474708556
P,2022-12-20 21:01:44.310,0.9133973121643066
P,2022-12-20 21:02:47.900,0.9745807647705078
P,2022-12-20 21:03:20.620,0.4030066132545471
P,2022-12-20 21:05:06.130,0.8945159316062927
P,2022-12-20 21:06:10.040,0.9600788354873656
P,2022-12-20 21:07:50.460,0.9807285070419312
P,2022-12-20 21:08:47.750,0.8778543472290039
P,2022-12-20 21:10:31.730,0.2985152304172516
P,2022-12-20 21:10:51.590,0.39171302318573
P,2022-12-20 21:10:56.980,0.6993303894996643
P,2022-12-20 21:12:26.540,0.2265726029872894
P,2022-12-20 21:13:05.470,0.7402020692825317
P,2022-12-20 21:13:59.040,0.8984640836715698
P,2022-12-20 21:14:21.770,0.5424906015396118
P,2022-12-20 21:14:35.040,0.5910940170288086
P,2022-12-20 21:15:49.880,0.2544702887535095
P,2022-12-20 21:17:34.350,0.9471480250358582
P,2022-12-20 21:17:50.460,0.8282477855682373
P,2022-12-20 21:19:29.880,0.7427944540977478
P,2022-12-20 21:20:21.630,0.6482518911361694
P,2022-12-20 21:22:10.190,0.7077820301055908
P,2022-12-20 21:22:44.970,0.976212441921234
P,2022-12-20 21:22:59.870,0.7881306409835815
P,2022-12-20 21:24:36.960,0.9493353366851808
P,2022-12-20 21:25:22.730,0.3122639060020447
P,2022-12-20 21:26:03.670,0.4608886241912842
P,2022-12-20 21:26:44.160,0.6595301628112793
P,2022-12-20 21:29:16.720,0.3962172865867615
P,2022-12-20 21:29:42.750,0.4868764579296112
P,2022-12-20 21:30:06.810,0.8606840968132019
P,2022-12-20 21:32:35.640,0.9439347386360168
P,2022-12-20 21:33:28.180,0.9684268236160278
P,2022-12-20 21:34:23.380,0.9775882363319396
P,2022-12-20 21:35:30.050,0.5077791810035706
P,2022-12-20 21:37:01.170,0.2254911065101623
P,2022-12-20 21:37:47.000,0.9090391993522644
P,2022-12-20 21:38:45.400,0.9289161562919616
P,2022-12-20 21:39:00.520,0.6860548257827759
P,2022-12-20 21:40:18.900,0.8596580028533936
P,2022-12-20 21:40:49.120,0.959689736366272
P,2022-12-20 21:41:13.040,0.8264045715332031
P,2022-12-20 21:45:46.330,0.7735472917556763
P,2022-12-20 21:46:08.680,0.5176018476486206
P,2022-12-20 21:46:35.520,0.9513808488845824
P,2022-12-20 21:47:00.600,0.7994484901428223
P,2022-12-20 21:47:56.880,0.977196455001831
P,2022-12-20 21:48:46.350,0.9618291258811952
P,2022-12-20 21:49:17.310,0.4616081714630127
P,2022-12-20 21:50:21.850,0.9573688507080078
P,2022-12-20 21:52:24.490,0.806991457939148
P,2022-12-20 21:52:46.880,0.3974446058273315
P,2022-12-20 21:57:19.870,0.7657439112663269
P,2022-12-20 21:59:06.340,0.2421717643737793
P,2022-12-20 21:59:30.860,0.663341760635376
P,2022-12-20 22:00:55.230,0.2949141561985016
P,2022-12-20 22:01:26.960,0.9696507453918456
P,2022-12-20 22:03:45.040,0.911656379699707
P,2022-12-20 22:05:10.790,0.317049115896225
P,2022-12-20 22:05:12.170,0.7439187169075012
P,2022-12-20 22:06:41.570,0.9547508358955384
P,2022-12-20 22:11:56.640,0.5976084470748901
P,2022-12-20 22:12:33.240,0.959539234638214
P,2022-12-20 22:13:27.190,0.8206472396850586
P,2022-12-20 22:13:57.760,0.3013623654842376
P,2022-12-20 22:15:56.770,0.9725323915481568
P,2022-12-20 22:17:23.290,0.5163001418113708
P,2022-12-20 22:18:18.140,0.9494117498397828
P,2022-12-20 22:18:53.680,0.8868998289108276
P,2022-12-20 22:20:02.090,0.2451680898666381
P,2022-12-20 22:21:11.610,0.2746587991714477
P,2022-12-20 22:21:59.920,0.3260627388954162
P,2022-12-20 22:22:55.330,0.7937660813331604
P,2022-12-20 22:23:25.110,0.2602318525314331
P,2022-12-20 22:24:39.550,0.937753200531006
P,2022-12-20 22:25:56.810,0.4071768224239349
P,2022-12-20 22:26:40.120,0.8027116060256958
P,2022-12-20 22:27:24.140,0.9458126425743104
P,2022-12-20 22:28:38.970,0.9372034072875975
P,2022-12-20 22:30:54.660,0.8843095302581787
P,2022-12-20 22:33:11.680,0.5632103681564331
P,2022-12-20 22:36:07.820,0.5270506143569946
P,2022-12-20 22:36:13.200,0.494831919670105
