start,target,sample_min,max_range,num_gaps,sample_unique,percent_availability
1983-02-05,UW.MBW..EHZ.M,-736.0,,3.0,559.0,0.213
1982-12-08,UW.MBW..EHZ.M,-469.0,,5.0,181.0,0.349
1982-11-18,UW.MBW..EHZ.M,-392.0,,3.0,171.0,0.207
1983-07-08,UW.MBW..EHZ.M,-517.0,,4.0,386.0,0.501
1982-10-25,UW.MBW..EHZ.M,-433.0,,5.0,226.0,0.327
1983-07-10,UW.MBW..EHZ.M,-400.0,,5.0,148.0,0.296
1982-11-04,UW.MBW..EHZ.M,-434.0,,3.0,185.0,0.178
1982-12-27,UW.MBW..EHZ.M,-410.0,410.0,2.0,130.0,0.154
1982-10-27,UW.MBW..EHZ.M,-390.0,,4.0,190.0,0.284
1983-07-06,UW.MBW..EHZ.M,-358.0,,3.0,121.0,0.276
1982-12-07,UW.MBW..EHZ.M,-547.0,,4.0,229.0,0.252
1983-07-07,UW.MBW..EHZ.M,-741.0,,5.0,305.0,0.282
1982-12-05,UW.MBW..EHZ.M,-340.0,340.0,2.0,60.0,0.083
1982-12-22,UW.MBW..EHZ.M,-394.0,394.0,2.0,118.0,0.148
1982-10-26,UW.MBW..EHZ.M,-417.0,,3.0,154.0,0.105
1983-01-17,UW.MBW..EHZ.M,-478.0,,4.0,187.0,0.329
1982-12-28,UW.MBW..EHZ.M,-479.0,,6.0,207.0,0.418
1982-12-24,UW.MBW..EHZ.M,-496.0,,6.0,290.0,0.349
1983-01-20,UW.MBW..EHZ.M,-468.0,,4.0,236.0,0.219
1982-12-20,UW.MBW..EHZ.M,-592.0,,5.0,322.0,0.545
1983-01-06,UW.MBW..EHZ.M,-517.0,517.0,3.0,238.0,0.199
1983-01-24,UW.MBW..EHZ.M,-2048.0,,3.0,2.0,0.45
1983-02-16,UW.MBW..EHZ.M,-540.0,540.0,2.0,311.0,0.065
1983-01-22,UW.MBW..EHZ.M,-447.0,,3.0,172.0,0.124
1982-12-21,UW.MBW..EHZ.M,-589.0,,4.0,269.0,0.32
1983-03-14,UW.MBW..EHZ.M,-359.0,359.0,2.0,95.0,0.095
1983-01-10,UW.MBW..EHZ.M,-416.0,,4.0,184.0,0.289
1982-11-28,UW.MBW..EHZ.M,-369.0,130.0,2.0,123.0,0.116
1983-03-31,UW.MBW..EHZ.M,-419.0,419.0,2.0,149.0,0.166
1982-12-13,UW.MBW..EHZ.M,-462.0,291.0,2.0,231.0,0.127
1982-12-10,UW.MBW..EHZ.M,-533.0,,5.0,255.0,0.433
1982-11-26,UW.MBW..EHZ.M,-651.0,,4.0,371.0,0.207
1982-12-16,UW.MBW..EHZ.M,-421.0,504.0,2.0,189.0,0.116
1983-01-15,UW.MBW..EHZ.M,-361.0,361.0,2.0,52.0,0.118
1982-12-15,UW.MBW..EHZ.M,-467.0,,3.0,235.0,0.299
1982-12-29,UW.MBW..EHZ.M,-856.0,,8.0,409.0,0.778
1982-11-23,UW.MBW..EHZ.M,-453.0,,5.0,191.0,0.409
1983-02-24,UW.MBW..EHZ.M,-343.0,343.0,2.0,57.0,0.13
1982-11-24,UW.MBW..EHZ.M,-522.0,,5.0,320.0,0.302
1983-03-27,UW.MBW..EHZ.M,-527.0,527.0,3.0,214.0,0.332
1983-02-19,UW.MBW..EHZ.M,-343.0,343.0,2.0,49.0,0.083
1983-03-02,UW.MBW..EHZ.M,-389.0,447.0,2.0,153.0,0.156
1983-03-04,UW.MBW..EHZ.M,-389.0,389.0,2.0,110.0,0.059
1983-02-21,UW.MBW..EHZ.M,-339.0,67.0,2.0,64.0,0.075
1983-02-18,UW.MBW..EHZ.M,-361.0,361.0,2.0,89.0,0.089
1982-12-06,UW.MBW..EHZ.M,-428.0,,3.0,183.0,0.107
1983-02-27,UW.MBW..EHZ.M,-1465.0,,3.0,958.0,0.491
1983-02-07,UW.MBW..EHZ.M,-444.0,,4.0,183.0,0.417
1983-01-11,UW.MBW..EHZ.M,-699.0,,3.0,283.0,0.231
1982-12-03,UW.MBW..EHZ.M,-406.0,,3.0,189.0,0.146
